"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.425712574E0,4.070143029E-2,-8.619125932E-2,9.888052940E0,9.888512350E0
1.430748013E0,9.816227108E-2,1.915361360E-2,9.878476143E0,9.878982417E0
1.435783452E0,-7.182605099E-3,-2.873042040E-2,9.782708168E0,9.782752993E0
1.440818892E0,5.027823523E-2,-3.830722719E-2,9.801861763E0,9.802065566E0
1.445823813E0,6.943184882E-2,-1.053448766E-1,9.801861763E0,9.802673735E0
1.450859253E0,2.154781483E-2,-8.619125932E-2,9.629479408E0,9.629889247E0
1.455894692E0,-1.675941236E-2,-6.703764945E-2,9.629479408E0,9.629727338E0
1.460930132E0,-6.464344263E-2,-5.746084079E-2,9.524134636E0,9.524527342E0
1.465935052E0,2.154781483E-2,-9.576806799E-3,9.725247383E0,9.725275970E0
1.470970492E0,3.112462163E-2,-4.788403213E-2,9.811438560E0,9.811604774E0
1.476005931E0,-7.182605099E-3,-6.703764945E-2,9.600749016E0,9.600985746E0
1.481041371E0,-7.182605099E-3,3.830722719E-2,9.533711433E0,9.533791100E0
1.486076810E0,-7.182605099E-3,1.915361360E-2,9.399636269E0,9.399658527E0
1.491081731E0,-3.591302410E-2,-3.830722719E-2,9.581595421E0,9.581739299E0
1.496117170E0,6.943184882E-2,-8.619125932E-2,9.572018623E0,9.572658473E0
1.501152610E0,5.985504389E-2,-2.873042040E-2,9.744400978E0,9.744627160E0
1.506188049E0,6.943184882E-2,-7.661445439E-2,9.706093788E0,9.706644486E0
1.511192971E0,-2.633621916E-2,1.915361360E-2,9.610325813E0,9.610380986E0
1.516228410E0,1.197100803E-2,-6.703764945E-2,9.361329079E0,9.361576762E0
1.521263849E0,-3.591302410E-2,3.830722719E-2,9.409213066E0,9.409359580E0
1.526299289E0,5.985504389E-2,3.830722719E-2,9.303867340E0,9.304138732E0
